"","rep","temp","ppfd","gs","medlyn"
"nbr.val",NA,NA,NA,143,143
"nbr.null",NA,NA,NA,0,0
"nbr.na",NA,NA,NA,0,0
"min",NA,NA,NA,0.01514705,-0.002728052
"max",NA,NA,NA,0.410977384,0.040931892
"range",NA,NA,NA,0.395830334,0.043659944
"sum",NA,NA,NA,23.821382456,1.623307195
"median",NA,NA,NA,0.167128733,0.010188376
"mean",NA,NA,NA,0.166583094097902,0.0113517985664336
"SE.mean",NA,NA,NA,0.0076075176125007,0.000753575793806771
"CI.mean",NA,NA,NA,0.0150386244506469,0.00148967691373283
"var",NA,NA,NA,0.0082760283641047,8.12063362126453e-05
"std.dev",NA,NA,NA,0.0909726792180196,0.00901145583203099
"coef.var",NA,NA,NA,0.546109914158242,0.793835071975044
